District,Seat,Constituency_title,Candidate_Name,Party
Chitral,Chitral,NA-1,lftikhar ud Din ,Pakistan Muslim League(N)
Chitral,Chitral,NA-1,Taqdira Ajmal,Independent
Chitral,Chitral,NA-1,Saeed Ur Rehman,Pakistan Rah-e-Haq Part
Chitral,Chitral,NA-1,Saleem Khan,Pakistan Peoples Party Parliamentarians
Chitral,Chitral,NA-1,Shahzada Muharamad Taimur Khisrao,Independent
Chitral,Chitral,NA-1,Abdul Latif,Pakistan Tehreek-e-lnsaf
Chitral,Chitral,NA-1,Eid ulHussain,Awami National Party
Chitral,Chitral,NA-1,Mohammad Amjad,All Pakistan Muslim League
Chitral,Chitral,NA-1,Muhammad Yahya,Independent
Chitral,Chitral,NA-1,Moulana Abdul Akbar Chitrali,Muttahida MAJLIS-E-AMAL PAKISTAN
Chitral,Chitral,NA-1,Nisar Dastager,Independent
Swat,Swat-I,NA-2 ,Amjad Ali Khan,Pakistan Peoples Party Parliamentarians
Swat,Swat-I,NA-2 ,Amir Muqam,Pakistan Muslim League(N)
Swat,Swat-I,NA-2 ,Haider Ali Khan,Pakistan Tehreek-e-lnsaf
Swat,Swat-I,NA-2 ,Said Qamar,Independent
Swat,Swat-I,NA-2 ,Ibadullah Khan,Independent
Swat,Swat-I,NA-2 ,Muhammad Mukhtar,Pashtoonkhwa Milli Avvami Party
Swat,Swat-I,NA-2 ,Miraj Muhammad,Independent
Swat,Swat-I,NA-2 ,Malak Muhammad Didar Khan,Independent
Swat,Swat-I,NA-2 ,Mumtaz Ahmad,Awami National Party
Swat,Swat-I,NA-2 ,Naveed lqbal ,Muttahida MAJLIS-E-AMAL PAKISTAN
Swat,Swat-II,NA-3,Aftab Shahid,Independent
Swat,Swat-II,NA-3,Hujjat ullah,Independent
Swat,Swat-II,NA-3,Saleem Rehman,Pakistan Tehreek-e-lnsaf
Swat,Swat-II,NA-3,Shakeel Ahmad,Jamiat Ulmae Islam Nazryati Pakistan
Swat,Swat-II,NA-3,Shahryar Amirzeb,Pakistan Peoples Party Parliamentarians
Swat,Swat-II,NA-3,Abdul Karim,Awami National Party
Swat,Swat-II,NA-3,Ali Khan,Independent
Swat,Swat-II,NA-3,Mian Muhammad Shahbaz Sharif,Pakistan Muslim League(N)
Swat,Swat-III,NA-4,lbrahim,Allah-o-Akbar Tehreek
Swat,Swat-III,NA-4,Tal Havat Khan,Qaumi Watan Party
Swat,Swat-III,NA-4,Khurshaid Ali,Pashtoonkhwa Milli Avvami Party
